#,Scheme Name,Short Title,Category,Level,Tags
1,Kanyashree Prakalpa,WBKANYASHREE,"Social welfare & Empowerment, Education & Learning, Women and Child",State,"Girl, Education, Scholarship, Child Marriage Prevention, Vocational Training, Grants For Higher Education"
2,Pratyasha Scheme- West Bengal,PS-WEST BENGAL,Housing & Shelter,State,"Police, House, Flats, Financial Assistance, Housing Assistance"
3,Gatidhara Scheme,GS-WEST BENGAL,Business & Entrepreneurship,State,"Unemployed, Youth, Subsidy, Commercial Vehicle, Transport Service"
4,Bina Mulya Samajik Suraksha Yojana,BMSSY,Social welfare & Empowerment,State,"Maternity Benefits, Pension, Death Benefits, Medical Benefits"
5,Widow Pension-West Bengal,WPWB,"Social welfare & Empowerment, Women and Child",State,"Financial Assistance, Social Welfare, Pension"
6,Medical Expenses-Treatment for Major Ailments Including Surgery,METFMAISWB,"Health & Wellness, Social welfare & Empowerment",State,"Labour, Building Worker, Construction Worker, Treatment, Ailments, Surgery, Medical Expenses"
7,West Bengal Transport Workers’ Social Security Scheme: Assistance on Death and Permanent Disablement,WBTWSSADPD,Health & Wellness,State,"Social Empowerment, Transport Worker, Monthly Assistance, Death Assistance, Permanent Disablement"
8,Banglar Awaas Yojana (BAY),BAY,Housing & Shelter,State,"Housing, Citizen Empowerment"
9,Banglar Yuba Sathi,BYSWB,Social welfare & Empowerment,State,"Unemployed Youth Allowance, Youth Welfare, Monthly Allowance, Banglar Yuba Sathi"
10,Old Age Pension To Handloom Weavers Under Coop. Fold,OLAHWUCF,Social welfare & Empowerment,State,"Pension, Handloom Weavers, Old Age"
11,Annapurna Yojana,AYWB,Social welfare & Empowerment,State,"Women Empowerment, Financial Assistance, Women Welfare, DBT"
12,Lakshmir Bhandar Scheme,LBS-WB,"Social welfare & Empowerment, Women and Child",State,"Financial Asisstance, Social Welfare, Women, Lakshmir Bhandar"
13,West Bengal Student Credit Card Scheme,WBSCCS,Education & Learning,State,"Financial Assistance, Education Loan, Higher Study"
14,Disability Pension - West Bengal,DPWB,Social welfare & Empowerment,State,"Financial Assistance, Social Welfare, Pension"
15,Manabik Scheme,MS,Social welfare & Empowerment,State,"Financial Assistance, Differently Abled, Pension, Social Welfare"
16,Old Age Pension,OAPWB,Social welfare & Empowerment,State,"Financial Assistance, Social Welfare, Pension, Old Age, Senior Citizens"
17,West Bengal Migrant Workers’ Welfare Scheme: Death Assistance,WBMWWSDA,Social welfare & Empowerment,State,"Migrant, Social Welfare, Financial Assistance, Labour, Death, Accident, Worker"
18,West Bengal Migrant Workers’ Welfare Scheme: Repatriation of Dead Body,WBMWWSC,Social welfare & Empowerment,State,"Cremation, Migrant, Social Welfare, Financial Assistance, Labour, Worker, Repatriation"
19,West Bengal Migrant Workers’ Welfare Scheme: Cremation,WBMWWSCA,Social welfare & Empowerment,State,"Social Welfare, Migrant, Financial Assistance, Labour, Cremation, Death, Worker"
20,West Bengal Artisans Financial Benefit Scheme 2024: Grant to Industrial Cooperative Society,WBAFBSGICS,Business & Entrepreneurship,State,"Artisans, Financial Benefit, Purchase, Repair, Equipment, Tool Kits"
21,West Bengal Artisans Financial Benefit Scheme: Facilitation Supports,WBAFBSFS,Business & Entrepreneurship,State,"Artisans, Facilitation Support"
22,Accidental Benefit ,ADWB,Social welfare & Empowerment,State,"Labour, Building Worker, Construction Worker, Accidental Benefit, Hospitalization, Disability"
23,Maternity Benefit,MBWB,"Social welfare & Empowerment, Health & Wellness, Women and Child",State,"Labour, Building Worker, Construction Worker, Maternity, Pregnancy Care, Women"
24,Pension Benefit,PBWB,Social welfare & Empowerment,State,"Labour, Building Worker, Construction Worker, Pension, Nominee"
25,Tool Purchase Grant for the Construction Workers,TPGFTCW,Business & Entrepreneurship,State,"Labour, Building Worker, Construction Worker, Tool Purchase"
26,Miscarriage Benefit ,MBBWWB,"Social welfare & Empowerment, Women and Child, Health & Wellness",State,"Labour, Building Worker, Construction Worker, Miscarriage, Women"
27,Financial Assistance for Education of Self/ Children of Beneficiaries ,FAFEOSCOB,"Education & Learning, Social welfare & Empowerment",State,"Labour, Building Worker, Construction Worker, Education, Study, Scholarships"
28,Cost of Spectacle for the Construction Workers  ,COSFTCW,Social welfare & Empowerment,State,"Labour, Building Worker, Construction Worker, Spectacle Purchase"
29,Cost of Hearing Aid for the Construction Workers,COHAFTCW,Social welfare & Empowerment,State,"Labour, Building Worker, Construction Worker, Hearing Aid"
30,West Bengal Transport Workers’ Social Security Scheme: Assistance for Purchase of Spectacles,WBTWSAPS,"Social welfare & Empowerment, Health & Wellness",State,"Social Security, Transport Worker, Health & Wellness, Medical Appliance"
31,West Bengal Transport Workers’ Social Security Scheme: Pension,WBTWSSP,Social welfare & Empowerment,State,"Social Security, Transport Worker, Monthly Assistance, Pension"
32,Shikshashree Scheme,SS-WEST BENGAL,Education & Learning,State,"Scheduled Caste, Student, Scholarship, Financial Assistance, Class V-VIII"
33,Swami Vivekananda Merit-cum-Means Scholarship,SVMCMS,Education & Learning,State,"Student, Financial Assistance, Education"
34,Akanksha Housing Scheme,Ahs,Housing & Shelter,State,"Housing, West Bengal, State Government Employees"
35,Rupashree Prakalpa,RPWB,"Social welfare & Empowerment, Women and Child",State,"Poor Families, Daughter, Marriage Assistance"
36,Jai Johar (Old Age Pension) Scheme,JJOAPS,"Banking,Financial Services and Insurance, Social welfare & Empowerment",State,"Pension, Senior Citizen, Social Welfare, Financial Assistance, Scheduled Tribe"
37,Toposili Bandhu (Old Age Pension) Scheme,OBS,Social welfare & Empowerment,State,"Pension, Financial Assistance, Social Welfare"
38,Yuvasree Prakalpa,YUVASREE ,Skills & Employment,State,"Employment, Job Seeker, Financial Assistance, Placement"
39,Death Benefit,DBFTCWWB,Social welfare & Empowerment,State,"Labour, Building Worker, Construction Worker, Death Benefit, Accidental Death, Normal Death"
40,Funeral Expenses for the Construction Workers,FEFTCWWB,Social welfare & Empowerment,State,"Labour, Building Worker, Construction Worker, Funeral Expenses, Death"
41,West Bengal Transport Workers’ Social Security Scheme: Family Pension,WBTWSSFP,Social welfare & Empowerment,State,"Social Security, Transport Worker, Monthly Assistance, Family Pension"
42,West Bengal Freeship Scheme,WBFS,Education & Learning,State,"Tuition Fee Waiver, Freeship, Financial Support, Engineering & Technology, Pharmacy, Architecture"
43,Lokprasar Prakalpo Scheme,LPS,Sports & Culture,State,"Folk, Artists, Tribal Culture, Pension, Financial Assistance, Performance Fee"
44,West Bengal Migrant Workers’ Welfare Scheme: Accidental Disability,WBMWWSAD,Social welfare & Empowerment,State,"Migrant, Social Welfare, Financial Assistance, Labour, Accident, Disability, Worker"
45,West Bengal Artisans Financial Benefit Scheme 2024: Grant to Individual Artisans,WBAFBGIA,Social welfare & Empowerment,State,"Artisans, Financial Benefit, Purchase, Repair, Equipment, Tool Kits"
46,West Bengal Handloom and Khadi Weavers Financial Benefit Scheme 2024: Assistance to Individual Handloom Weaver,AIHW,Business & Entrepreneurship,State,"Handloom, Handloom Weaver, Financial Benefit"
47,Refund of Subscriptions for the Construction Workers,ROSFTCW,Social welfare & Empowerment,State,"Labour, Construction Worker, Subscriptions Refund"
48,West Bengal Transport Workers’ Social Security Scheme: Assistance on Hospitalization,WBTWSSAH,Health & Wellness,State,"Social Security, Transport Worker, Hospitalization, Medical Assistance"
49,State Welfare Scheme For Purohits,SWSP,"Social welfare & Empowerment, Housing & Shelter",State,"Economically Backward, Purohit, Priests, Financial Assistance, House"
50,West Bengal Transport Workers’ Social Security Scheme: Assistance for Education of Children,WBTWSAE,Education & Learning,State,"Social Security, Transport Worker, Engineering And Medical, Education, Scholarship, Higher Secondary, Graduation, Post-Graduation"
51,NIJASHAREE HOUSING SCHEME,NHS- WEST BENGAL,"Housing & Shelter, Social welfare & Empowerment",State,"House, Flats, Lower Income Group, Middle Income Group"
52,Scheme of Death Benefit for Weavers & Artisans of West Bengal,SDBWAW,Social welfare & Empowerment,State,"Weavers, Social Welfare, Artisans, Death"
53,Karma Sathi Prakalpa,KSP,Skills & Employment,State,"Employment, Entrepreneur, West Bengal, Loan, Subsidy"
54,West Bengal Transport Workers’ Social Security Scheme: Medical Benefit for Major Ailments,WBTWSMBMA,Health & Wellness,State,"Social Security, Transport Worker, Health & Wellness, Major Ailments, Medical Benefit"
55,West Bengal Transport Workers’ Social Security Scheme: Funeral Expenses,WBTWSFE,Social welfare & Empowerment,State,"Social Security, Transport Worker, Social Empowerment, Funeral Expenses"
56,Sishu Saathi,WBSISHUSATHI,"Health & Wellness, Social welfare & Empowerment",State,"Sishu Saathi, Social Welfare, Financial Assistance, Child Health"
57,Krishak Bandhu Scheme,KBS,"Agriculture,Rural & Environment, Social welfare & Empowerment",State,"Farmer, Financial Assistance, Agriculture, Income, Death, Disability"
58,West Bengal Transport Workers’ Social Security Scheme: Assistance for Marriage,WBTWSAM,Social welfare & Empowerment,State,"Social Security, Transport Worker, Marriage Assistance, Women"
59,West Bengal Transport Workers’ Social Security Scheme: Maternity Benefit,WBTWSMB,"Women and Child, Health & Wellness",State,"Social Security, Transport Worker, Health & Wellness, Maternity Benefit, Medical Benefit, Pregnant Women"
60,Samajik Mukti,SM,"Social welfare & Empowerment, Banking,Financial Services and Insurance",State,"Labour, Provident Fund, Unorganised Sector, Social, Financial"
61,"Banglashree for Micro, Small and Medium Enterprises: Interest Subsidy on Term Loan (IS)",BMSMECIS,Business & Entrepreneurship,State,"MSME, Incentives, Interest Subsidy, Financial Assistance, Term Loan, Entrepreneurship"
62,"Banglashree for Micro, Small and Medium Enterprises: Subsidy for Work Force Welfare Assistance (WWAS)",BMSMEWWAS,Business & Entrepreneurship,State,"MSME, Incentives, Work Force Welfare, Financial Assistance, Entrepreneurship, Subsidy, Reimbursement, WWAS"
